Id,ClusterId,Lat,Lng,Tags
1,0,54.24024,18.17691,"{""addr:city:simc"": ""0172706"", ""addr:housenumber"": ""33"", ""addr:place"": ""Starkowa Huta"", ""addr:postcode"": ""83-312"", ""source:addr"": ""somonino.e-mapa.net""}"
2,3,54.2394491,18.2030705,"{""addr:postcode"": ""83-312"", ""is_in:county"": ""powiat kartuski"", ""is_in:municipality"": ""gmina Somonino"", ""is_in:province"": ""wojew\u00f3dztwo pomorskie"", ""name"": ""Egiertowo"", ""place"": ""village"", ""population"": ""600"", ""source:population"": ""wikipedia"", ""teryt:rm"": ""01"", ""teryt:simc"": ""0172416"", ""teryt:stan_na"": ""2009-01-01"", ""teryt:updated_by"": ""teryt2osm combine.py v. 43"", ""wikidata"": ""Q1841681"", ""wikipedia"": ""pl:Egiertowo""}"
3,6,54.2407278,18.2216778,"{""power"": ""tower""}"
4,15,54.2415061,18.2951211,"{""addr:postcode"": ""83-047"", ""is_in"": ""gmina Przywidz, powiat gda\u0144ski, wojew\u00f3dztwo pomorskie, Poland"", ""is_in:county"": ""powiat gda\u0144ski"", ""is_in:municipality"": ""gmina Przywidz"", ""is_in:province"": ""wojew\u00f3dztwo pomorskie"", ""name"": ""Majdany"", ""place"": ""hamlet"", ""population"": ""50"", ""source:population"": ""wikipedia"", ""teryt:simc"": ""0170050"", ""wikidata"": ""Q11766427"", ""wikipedia"": ""pl:Majdany (wojew\u00f3dztwo pomorskie)""}"
5,22,54.2413194,18.350548,"{""created_by"": ""JOSM""}"
6,23,54.24026,18.35357,"{""addr:city"": ""Huta Dolna"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""83-047"", ""addr:street"": ""\u017burawi Trakt"", ""source:addr"": ""przywidz.e-mapa.net""}"
7,27,54.2426584,18.3865898,"{""name"": ""Stenwa\u0142"", ""name:genitive"": ""Stenwa\u0142u"", ""place"": ""locality"", ""source"": ""PRNG""}"
8,29,54.2414853,18.4036278,"{""name"": ""107"", ""power"": ""tower""}"
9,34,54.24137,18.44351,"{""addr:city"": ""Ostr\u00f3\u017cki"", ""addr:city:simc"": ""0164084"", ""addr:housenumber"": ""29"", ""addr:postcode"": ""83-050"", ""addr:street"": ""Marii Konopnickiej"", ""addr:street:sym_ul"": ""09186"", ""source:addr"": ""kolbudy.e-mapa.net""}"
10,35,54.242,18.4499,"{""addr:city"": ""Ostr\u00f3\u017cki"", ""addr:city:simc"": ""0164084"", ""addr:housenumber"": ""24"", ""addr:postcode"": ""83-050"", ""addr:street"": ""Marii Konopnickiej"", ""addr:street:sym_ul"": ""09186"", ""source:addr"": ""kolbudy.e-mapa.net""}"
